pilot_id,document_id,config,model,reasoning_effort,predicted_labels,error,run_id
9,1970,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Community and Economic Benefits""]",,2
10,3059,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Project Need"", ""Residential Proximity and Separation Distance""]",,2
13,1578,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact"", ""Site Selection""]",,2
16,1010,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Noise"", ""Health and Wellbeing""]",,2
18,2870,terra_low,gpt-5.6-terra,low,"[""Wildlife and Ecology"", ""Traffic"", ""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Light Pollution"", ""Noise"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Decommissioning and Site Restoration"", ""Residential Proximity and Separation Distance""]",,2
24,638,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact""]",,2
25,1605,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Site Selection"", ""Agricultural Land""]",,2
28,2302,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Health and Wellbeing"", ""Project Need""]",,2
29,2518,terra_low,gpt-5.6-terra,low,"[""Project Need""]",,2
1,500,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Noise"", ""Agricultural Land"", ""Residential Proximity and Separation Distance""]",,3
9,1970,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Community and Economic Benefits""]",,3
10,3059,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Project Need"", ""Residential Proximity and Separation Distance""]",,3
13,1578,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact"", ""Site Selection""]",,3
16,1010,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Noise"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance""]",,3
18,2870,terra_low,gpt-5.6-terra,low,"[""Wildlife and Ecology"", ""Traffic"", ""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Light Pollution"", ""Noise"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Community and Economic Benefits"", ""Decommissioning and Site Restoration"", ""Residential Proximity and Separation Distance""]",,3
24,638,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact""]",,3
25,1605,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Site Selection"", ""Agricultural Land""]",,3
28,2302,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Health and Wellbeing""]",,3
29,2518,terra_low,gpt-5.6-terra,low,"[""Project Need""]",,3
